CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
23-000060,-26.43,171.54,61.7,2.12,-0.14,2.26,,-26.59,171.86,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000060,-26.43,171.54,61.7,2.12,-0.14,2.26,,-26.63,171.22,alluvial fan,225,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000060,-26.43,171.54,61.7,2.12,-0.14,2.26,,-26.71,171.68,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000060,-26.43,171.54,61.7,2.12,-0.14,2.26,,-26.7,171.36,alluvial fan,202.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000141,-12.15,149.77,41.15,1.5,-0.14,1.64,,-12.37,149.87,alluvial fan,135,mNh,Middle Noachian highland unit,this paper 
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.25,169.23,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.28,169.33,alluvial fan,22.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.32,169.37,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.39,168.98,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.37,169.41,alluvial fan,67.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.52,169.36,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.61,169.31,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.62,169.26,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000169,-28.42,169.18,38.23,1.85,0.02,1.84,,-28.64,169.21,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,this paper 
23-000188,-29.59,177.45,36.97,1.19,-0.73,1.93,,-29.45,177.61,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
