CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
21-000062,-23.04,74.25,64.39,0.27,-1.22,1.49,,-23.44,74.33,alluvial fan,157.5,eNhm,Early Noachian highland massif unit,Moore and Howard (2005)
21-000099,-29.25,74.49,52.5,-3.97,-5.67,1.71,,-29.54,74.42,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000102,-18.7,62.66,52.09,1.17,-0.7,1.87,,-19.06,62.58,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,this paper 
21-000102,-18.7,62.66,52.09,1.17,-0.7,1.87,,-19.07,62.65,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.29,85.67,alluvial fan,112.5,eNh,Early Noachian highland unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.32,85.59,alluvial fan,135,eNh,Early Noachian highland unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.05,85.24,alluvial fan,270,eNh,Early Noachian highland unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.1,85.72,alluvial fan,90,eNh,Early Noachian highland unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.21,85.74,alluvial fan,90,eNh,Early Noachian highland unit,this paper 
21-000135,-16.1,85.41,48.41,3.22,1.07,2.16,,-16.25,85.72,alluvial fan,112.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.24,76.56,alluvial fan,315,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.35,76.45,alluvial fan,270,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.38,77.02,alluvial fan,67.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.46,76.43,alluvial fan,247.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.53,76.43,alluvial fan,247.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.63,76.52,alluvial fan,202.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.6,76.5,alluvial fan,225,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.71,76.59,alluvial fan,202.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.72,76.62,alluvial fan,180,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.66,76.57,alluvial fan,202.5,eNh,Early Noachian highland unit,this paper 
21-000151,-22.44,76.73,45.38,0.19,-1.73,1.92,,-22.69,76.75,alluvial fan,157.5,eNh,Early Noachian highland unit,this paper 
21-000168,-12.62,65.95,43.79,2.1,-0.45,2.56,,-12.72,65.66,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000169,-29.68,82.97,43.67,-1.31,-2.88,1.57,,-29.45,82.75,alluvial fan,315,eNhm,Early Noachian highland massif unit,Wilson et al. (2013)/ this paper
21-000169,-29.68,82.97,43.67,-1.31,-2.88,1.57,,-29.49,83.14,alluvial fan,22.5,eNhm,Early Noachian highland massif unit,Wilson et al. (2013)/ this paper
21-000173,-22.6,65.39,43.22,0.04,-2.05,2.08,,-22.4,65.47,alluvial fan,0,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000173,-22.6,65.39,43.22,0.04,-2.05,2.08,,-22.46,65.6,alluvial fan,45,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000173,-22.6,65.39,43.22,0.04,-2.05,2.08,,-22.53,65.64,alluvial fan,67.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000173,-22.6,65.39,43.22,0.04,-2.05,2.08,,-22.62,65.11,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000173,-22.6,65.39,43.22,0.04,-2.05,2.08,,-22.69,65.16,alluvial fan,225,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
21-000185,-26.64,75.96,41.36,-2.14,-3.61,1.47,Runanga,-26.62,75.69,alluvial fan,270,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000189,-27.77,89.09,41.09,-0.4,-2.09,1.69,Kasabi,-27.72,89.36,alluvial fan,67.5,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000189,-27.77,89.09,41.09,-0.4,-2.09,1.69,Kasabi,-27.75,88.8,alluvial fan,270,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000189,-27.77,89.09,41.09,-0.4,-2.09,1.69,Kasabi,-27.67,88.85,alluvial fan,292.5,mNh,Middle Noachian highland unit,this paper 
21-000189,-27.77,89.09,41.09,-0.4,-2.09,1.69,Kasabi,-27.68,88.86,alluvial fan,292.5,mNh,Middle Noachian highland unit,this paper 
21-000198,-18.6,82.06,39.84,1.73,0.18,1.55,,-18.35,82.05,alluvial fan,337.5,eNh,Early Noachian highland unit,this paper 
21-000201,-29.84,83.68,39.73,-1.38,-2.95,1.57,,-29.65,83.57,alluvial fan,315,eNhm,Early Noachian highland massif unit,this paper 
21-000218,-1.64,58.21,37.65,2.04,0.11,1.93,,-1.44,58.11,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
21-000218,-1.64,58.21,37.65,2.04,0.11,1.93,,-1.62,58.36,alluvial fan,67.5,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
21-000218,-1.64,58.21,37.65,2.04,0.11,1.93,,-1.87,58.19,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
21-000218,-1.64,58.21,37.65,2.04,0.11,1.93,,-1.48,58.06,alluvial fan,315,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
21-000220,-22.11,68.1,37.51,-0.34,-1.29,0.95,,-21.96,68.26,alluvial fan,22.5,eNhm,Early Noachian highland massif unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.53,86.84,alluvial fan,315,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.52,86.94,alluvial fan,337.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.56,87.1,alluvial fan,22.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.54,87,alluvial fan,0,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.8,86.83,alluvial fan,225,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.89,86.91,alluvial fan,180,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000262,-23.69,86.96,34.95,0.18,-1.93,2.11,,-23.88,87.13,alluvial fan,135,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000290,-15.3,89.66,33.19,2.39,0.31,2.09,,-15.13,89.51,alluvial fan,315,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000290,-15.3,89.66,33.19,2.39,0.31,2.09,,-15.25,89.43,alluvial fan,270,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000290,-15.3,89.66,33.19,2.39,0.31,2.09,,-15.48,89.77,alluvial fan,135,mNh,Middle Noachian highland unit,Wilson et al. (2013)/ this paper
21-000294,-28.39,83.42,33,-0.76,-1.93,1.16,,-28.57,83.37,alluvial fan,180,eNhm,Early Noachian highland massif unit,this paper 
21-000294,-28.39,83.42,33,-0.76,-1.93,1.16,,-28.41,83.63,alluvial fan,90,eNhm,Early Noachian highland massif unit,this paper 
21-000294,-28.39,83.42,33,-0.76,-1.93,1.16,,-28.35,83.61,alluvial fan,67.5,eNhm,Early Noachian highland massif unit,this paper 
21-000511,-15.85,78.04,23.57,1.33,-0.56,1.89,,-15.76,78.11,alluvial fan,22.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000511,-15.85,78.04,23.57,1.33,-0.56,1.89,,-15.91,77.89,alluvial fan,247.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000511,-15.85,78.04,23.57,1.33,-0.56,1.89,,-16,78.06,alluvial fan,157.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000511,-15.85,78.04,23.57,1.33,-0.56,1.89,,-15.98,78,alluvial fan,180,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000511,-15.85,78.04,23.57,1.33,-0.56,1.89,,-15.98,77.98,alluvial fan,202.5,eNh,Early Noachian highland unit,Wilson et al. (2013)/ this paper
21-000577,-18.11,81.93,21.56,1.68,0.29,1.38,,-18.13,82.05,alluvial fan,90,eNh,Early Noachian highland unit,this paper 
21-000577,-18.11,81.93,21.56,1.68,0.29,1.38,,-18.23,81.94,alluvial fan,157.5,eNh,Early Noachian highland unit,this paper 
21-000577,-18.11,81.93,21.56,1.68,0.29,1.38,,-18.21,81.86,alluvial fan,202.5,eNh,Early Noachian highland unit,this paper 
21-000843,-16.1,70.38,16.01,1.01,-0.24,1.25,,-16.18,70.33,alluvial fan,202.5,mNh,Middle Noachian highland unit,this paper 
22-000026,-19.52,123.33,72.41,2.86,0.59,2.27,,-19.76,122.98,alluvial fan,225,AHi,Amazonian and Hesperian impact unit,Kraal et al. (2008)
